date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:15	918/918	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:a59a5d51508c003364ac099a46f28df8%22	https://wydb02-51.myshopify.com/robots.txt		(from )
18:07:16	9779375/9779375	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:22da90e5793e5ff572692cfe2229aa0e%22	https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto2f25.html	(from )
18:07:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Oct%202025%2021:07:16%20GMT	http://wydb02-51.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=145227305158328575881760716194	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/cdn/shop/t/2/assets/favicon.15124.delayed	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:18	24118/24118	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Oct%202025%2016:03:01%20GMT	https://wydb02-51.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=145227305158328575881760716194	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/cdn/shop/t/2/assets/favicon5124.png	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:18	61061/61061	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/pc/Downloads/pression%20baby/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:19	105/105	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2017%20Oct%202025%2021:07:18%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/pc/Downloads/pression%20baby/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:19	19927/19927	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/pc/Downloads/pression%20baby/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:20	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/pc/Downloads/pression%20baby/code.jquery.com/jquery-3.6.4.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:20	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/pc/Downloads/pression%20baby/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:20	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/pc/Downloads/pression%20baby/code.jquery.com/jquery-3.6.0.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:21	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/pc/Downloads/pression%20baby/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:21	192995/192995	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:1be9d1b95b4af8baa9e4ab30907cbfc1%22	https://wydb02-51.myshopify.com/products/POST	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/products/POST	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Oct%202025%2021:07:21%20GMT	http://wydb02-51.myshopify.com/cdn/s/trekkie.storefront.fa5ed3681c2fc2a896d098bf1f3f0dad966320f4.min.js	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/cdn/s/trekkie.storefront.fa5ed3681c2fc2a896d098bf1f3f0dad966320f4.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Oct%202025%2021:07:22%20GMT	http://wydb02-51.myshopify.com/cdn/shopifycloud/storefront/assets/shop_events_listener-abeef7a0.js	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/cdn/shopifycloud/storefront/assets/shop_events_listener-abeef7a0.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:23	88641/88641	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2016%20Oct%202025%2017:15:40%20GMT	https://wydb02-51.myshopify.com/cdn/s/trekkie.storefront.fa5ed3681c2fc2a896d098bf1f3f0dad966320f4.min.js	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/cdn/s/trekkie.storefront.fa5ed3681c2fc2a896d098bf1f3f0dad966320f4.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:23	13923/13923	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2005%20Oct%202025%2011:56:28%20GMT	https://wydb02-51.myshopify.com/cdn/shopifycloud/storefront/assets/shop_events_listener-abeef7a0.js	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/cdn/shopifycloud/storefront/assets/shop_events_listener-abeef7a0.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:23	70904/70904	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20Oct%202025%2009:53:26%20GMT	https://wydb02-51.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-2.0.17.min.js	C:/Users/pc/Downloads/pression%20baby/wydb02-51.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-2.0.17.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
18:07:24	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/Users/pc/Downloads/pression%20baby/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://wydb02-51.myshopify.com/products/panela-de-pressao-9l-anti-explosao-antiaderente-inducao-inox-preto?pb=0)
